app_id	category1	category2	category3	category4	category5
com.qihoo.security	/Computers & Electronics/Software/Software Utilities	/Games/Computer & Video Games	/Pets & Animals/Pets/Cats	/Food & Drink/Beverages/Coffee & Tea/Coffee	/Sports/Individual Sports/Running & Walking
com.viber.voip	/Internet & Telecom/Email & Messaging/Voice & Video Chat	/Arts & Entertainment/Music & Audio	/Internet & Telecom/Email & Messaging/Text & Instant Messaging	/Beauty & Fitness/Face & Body Care	/Arts & Entertainment/Comics & Animation/Cartoons
com.lazada.android	/Home & Garden	/Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones	/Beauty & Fitness/Face & Body Care	/Shopping/Shopping Portals	/Computers & Electronics/Software/Business & Productivity Software/Accounting & Financial Software
com.fungames.sniper3d	/Sports/Individual Sports/Golf	/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Pianos & Keyboards	/Shopping	/Shopping/Classifieds	/Online Communities/Forum & Chat Providers
com.google.android.apps.maps	/Computers & Electronics/Electronics & Electrical/Power Supplies	/Reference/Geographic Reference/Maps	/Games/Tile Games	/Hobbies & Leisure/Outdoors/Fishing	/Games/Computer & Video Games/Simulation Games/City Building Games
com.nianticlabs.pokemongo	/Internet & Telecom/Web Services/Web Design & Development	/Business & Industrial/Advertising & Marketing/Marketing	/Science/Engineering & Technology/Augmented & Virtual Reality	/Books & Literature/Writers Resources	/Games/Computer & Video Games/Casual Games
com.nekki.shadowfight	/Arts & Entertainment/Music & Audio	/Online Communities/Blogging Resources & Services/Microblogging	/Games/Roleplaying Games	/Home & Garden/Domestic Services/Cleaning Services	/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys
com.activision.callofduty.shooter	/Arts & Entertainment/Events & Listings/Event Ticket Sales	/Online Communities/Feed Aggregation & Social Bookmarking	/News/Sports News	/Food & Drink/Cooking & Recipes/Desserts	/Arts & Entertainment/Events & Listings/Concerts & Music Festivals
com.mercadolibre	/Computers & Electronics/Software/Multimedia Software/Desktop Publishing/Fonts	/Shopping/Mass Merchants & Department Stores	/Computers & Electronics/Software/Business & Productivity Software	/Shopping/Classifieds	/Arts & Entertainment/Comics & Animation/Cartoons
com.camerasideas.instashot	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software	/Business & Industrial	/Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Scanners	/Books & Literature/Writers Resources	/Jobs & Education/Education/Teaching & Classroom Resources
com.contextlogic.wish	/Games/Computer & Video Games/Sports Games	/Computers & Electronics/Consumer Electronics/Audio Equipment/Speakers	/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance	/Shopping/Shopping Portals	/Real Estate/Real Estate Listings
com.ss.android.ugc.trill	/Arts & Entertainment/Music & Audio	/Finance	/Finance/Investing/Funds/Mutual Funds	/Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Scanners	/Online Communities/Photo & Video Sharing/Video Sharing
com.dianxinos.dxbs	/Computers & Electronics/Software/Software Utilities	/Finance/Investing/Funds/Mutual Funds	/Beauty & Fitness/Hair Care	/Games/Computer & Video Games/Adventure Games	/Arts & Entertainment/Comics & Animation/Cartoons
com.outfit7.mytalkingangelafree	/Arts & Entertainment	/Food & Drink/Cooking & Recipes	/Finance/Investing/Currencies & Foreign Exchange	/Finance/Accounting & Auditing/Bookkeeping	/Games/Computer & Video Games/Simulation Games/Life Simulation Games
jp.naver.line.android	/Internet & Telecom/Email & Messaging/Voice & Video Chat	/Internet & Telecom/Email & Messaging/Text & Instant Messaging	/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration	/Arts & Entertainment/Music & Audio/Dance & Electronic Music	/Arts & Entertainment/Humor/Funny Pictures & Videos
com.firsttouchgames.dls3	/Games/Computer & Video Games/Sports Games	/Sports/Team Sports/Soccer	/Computers & Electronics/Computer Hardware/Computer Peripherals/Input Devices	/Science/Biological Sciences/Flora & Fauna	/News/Local News
com.quvideo.xiaoying	/Online Communities/File Sharing & Hosting	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Video Software	/Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Scanners	/Beauty & Fitness/Fitness/Bodybuilding
com.alibaba.aliexpresshd	/Hobbies & Leisure/Outdoors/Fishing	/News/Business News	/Shopping/Shopping Portals	/Food & Drink/Restaurants	/Business & Industrial/Business Operations/Human Resources/Compensation & Benefits
com.innersloth.spacemafia	/Computers & Electronics/Software/Multimedia Software/Audio & Music Software/Audio File Formats & Codecs	/Sports/Team Sports/Basketball	/Hobbies & Leisure/Crafts/Fiber & Textile Arts	/Games/Board Games	/Games/Computer & Video Games/Action & Platform Games
com.bbm	/Internet & Telecom/Email & Messaging/Text & Instant Messaging	/Sports/Sporting Goods	/Internet & Telecom/Email & Messaging	/Science/Mathematics	/Computers & Electronics/Networking/Network Monitoring & Management
com.dianxinos.optimizer.duplay	/Computers & Electronics/Software/Software Utilities	/Shopping/Gifts & Special Event Items/Greeting Cards	/Business & Industrial/Energy & Utilities/Electricity	/Games/Word Games	/Finance/Banking/Money Transfer & Wire Services
com.netflix.mediaclient	/People & Society/Religion & Belief/Mindfulness & Meditation	/Reference/General Reference/Calculators & Reference Tools	/Arts & Entertainment/TV & Video/Online Video/Movie & TV Streaming	/Games/Board Games	/Beauty & Fitness/Face & Body Care/Skin & Nail Care
com.google.android.play.games	/Games/Computer & Video Games	/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Video Software	/Reference/General Reference/Educational Resources	/Games/Card Games/Collectible Card Games
com.supercell.hayday	/Hobbies & Leisure/Special Occasions/Weddings	/Business & Industrial/Business Operations/Human Resources/Compensation & Benefits	/Internet & Telecom/Web Services/Cloud Storage	/Games/Computer & Video Games/Simulation Games/Business & Tycoon Games	/Internet & Telecom/Service Providers
net.one97.paytm	/Online Communities/File Sharing & Hosting	/Finance/Banking	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Video Software	/Books & Literature/Poetry	/Finance/Banking/Money Transfer & Wire Services
com.duolingo	/Finance	/People & Society/Family & Relationships/Family/Ancestry & Genealogy	/Reference/Language Resources/Foreign Language Resources/Foreign Language Study	/Travel & Transportation/Travel Guides & Travelogues	/Shopping/Apparel/Clothing Accessories/Watches
me.pou.app	/Books & Literature/Audiobooks	/Arts & Entertainment/Visual Art & Design/Design/Interior Design	/Games/Computer & Video Games/Simulation Games/Life Simulation Games	/Computers & Electronics/Networking/Network Monitoring & Management	/Games/Computer & Video Games/Casual Games
video.like	/Computers & Electronics/Software/Business & Productivity Software/Collaboration & Conferencing Software	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Video Software	/News	/Online Communities/Photo & Video Sharing/Video Sharing	/Games/Computer & Video Games/Casual Games
com.mxtech.videoplayer.ad	/Computers & Electronics/Software/Multimedia Software/Media Players	/Travel & Transportation/Transportation/Long Distance Bus & Rail	/Arts & Entertainment/Events & Listings/Event Ticket Sales	/Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Scanners	/Reference/General Reference/Dictionaries & Encyclopedias
com.skype.raider	/Internet & Telecom/Email & Messaging/Voice & Video Chat	/Internet & Telecom/Email & Messaging/Text & Instant Messaging	/Internet & Telecom/Email & Messaging	/Home & Garden/Domestic Services	/Arts & Entertainment/Comics & Animation/Cartoons
com.picsart.studio	/Games/Puzzles & Brainteasers	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Photo Software	/Jobs & Education/Education/Colleges & Universities	/Games/Computer & Video Games/Simulation Games/Business & Tycoon Games	/Shopping/Photo & Video Services/Photo Printing Services
com.playrix.gardenscapes	/Internet & Telecom/Web Services/Web Design & Development	/Sports/Sporting Goods	/Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Coffee & Espresso Makers	/Games/Computer & Video Games/Casual Games	/Games/Computer & Video Games/Video Game Emulation
com.google.android.gm	/Hobbies & Leisure	/Internet & Telecom/Email & Messaging	/Internet & Telecom/Email & Messaging/Email	/Games/Dice Games	/Arts & Entertainment/Humor
com.playrix.homescapes	/Games/Computer & Video Games/Massively Multiplayer Games	/Jobs & Education/Education/Computer Education	/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Drums & Percussion	/Autos & Vehicles/Motor Vehicles (By Type)/Motorcycles	/Games/Computer & Video Games/Casual Games
com.gameloft.android.ANMP.GloftDMHM	/Computers & Electronics/Software/Business & Productivity Software/Presentation Software	/Finance/Accounting & Auditing/Tax Preparation & Planning	/Hobbies & Leisure/Crafts	/Shopping/Apparel/Clothing Accessories/Gems & Jewelry	/Games/Computer & Video Games/Action & Platform Games
in.startv.hotstar	/Online Communities/Blogging Resources & Services/Microblogging	/Beauty & Fitness/Fitness/Fitness Instruction & Personal Training	/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Drums & Percussion	/Arts & Entertainment/TV & Video/Online Video/Movie & TV Streaming	/Computers & Electronics/Consumer Electronics/Media Streaming Devices
org.telegram.messenger	/Travel & Transportation/Transportation/Taxi & Ride Hail Services	/Internet & Telecom/Email & Messaging/Text & Instant Messaging	/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance	/News	/Finance/Credit & Lending/Loans/Home Financing
com.fingersoft.hillclimb	/Jobs & Education/Jobs/Job Listings	/Games/Computer & Video Games/Driving & Racing Games	/Games/Computer & Video Games/Simulation Games/Life Simulation Games	/Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes	/Games/Computer & Video Games/Action & Platform Games
com.google.android.inputmethod.latin	/Computers & Electronics/Software/Software Utilities	/Sports/Team Sports/American Football	/Internet & Telecom/Search Engines	/Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources	/Computers & Electronics/Consumer Electronics/Home Automation
com.gameloft.android.ANMP.GloftA8HM	/Arts & Entertainment/Music & Audio	/Finance/Financial Planning & Management	/Online Communities/Virtual Worlds	/Arts & Entertainment/Celebrities & Entertainment News	/Games/Computer & Video Games/Driving & Racing Games
net.zedge.android	/Jobs & Education/Jobs/Job Listings	/Arts & Entertainment/Music & Audio/Music Reference/Song Lyrics & Tabs	/News/Business News	/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/Ringtones & Mobile Themes	/Pets & Animals/Animal Products & Services/Pet Food & Pet Care Supplies
com.shopee.id	/Travel & Transportation/Transportation/Long Distance Bus & Rail	/Games/Computer & Video Games/Video Game Mods & Add-Ons	/People & Society/Family & Relationships/Family/Ancestry & Genealogy	/Shopping/Shopping Portals	/Arts & Entertainment/Visual Art & Design
com.imangi.templerun2	/Business & Industrial/Small Business/MLM & Business Opportunities	/Computers & Electronics/Consumer Electronics	/Jobs & Education/Education/Standardized & Admissions Tests	/Beauty & Fitness/Fashion & Style	/Games/Computer & Video Games/Action & Platform Games
com.ubercab	/Computers & Electronics/Software/Multimedia Software/Audio & Music Software	/Online Communities/Online Goodies/Clip Art & Animated GIFs	/Travel & Transportation/Transportation/Car Rentals	/Online Communities/Photo & Video Sharing/Photo & Image Sharing	/Online Communities/Blogging Resources & Services
com.king.farmheroessaga	/Internet & Telecom/Email & Messaging/Voice & Video Chat	/Food & Drink/Food & Grocery Delivery	/Reference/General Reference/Dictionaries & Encyclopedias	/Computers & Electronics/Consumer Electronics/Game Systems & Consoles/Sony PlayStation	/Games/Computer & Video Games/Casual Games
com.surpax.ledflashlight.panel	/Computers & Electronics/Software/Software Utilities	/Sports/Team Sports/American Football	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Photo Software	/Business & Industrial/Advertising & Marketing/Promotional Products & Corporate Gifts	/Food & Drink/Cooking & Recipes
com.ea.gp.fifamobile	/Games/Computer & Video Games/Sports Games	/Sports/Team Sports/Soccer	/Sports/Sporting Goods	/News/Newspapers	/Games/Board Games/Chess & Abstract Strategy Games
br.com.brainweb.ifood	/Arts & Entertainment/TV & Video/TV Shows & Programs	/Finance/Credit & Lending/Credit Cards	/Business & Industrial/Energy & Utilities/Electricity	/Food & Drink/Food & Grocery Delivery	/Food & Drink/Restaurants
es.socialpoint.DragonCity	/Finance/Investing/Currencies & Foreign Exchange/Digital Currencies	/Games/Computer & Video Games/Simulation Games	/Finance/Banking	/Shopping/Mass Merchants & Department Stores	/Games/Computer & Video Games/Casual Games
com.google.android.apps.docs	/Hobbies & Leisure	/Computers & Electronics/Software/Multimedia Software/Audio & Music Software/Audio File Formats & Codecs	/Computers & Electronics/Software/Business & Productivity Software	/Internet & Telecom/Web Services/Cloud Storage	/Arts & Entertainment/Music & Audio/Music Reference/Sheet Music
com.google.android.apps.tachyon	/Internet & Telecom/Email & Messaging/Voice & Video Chat	/Shopping/Gifts & Special Event Items/Gifts	/Business & Industrial/Retail Trade/Retail Equipment & Technology	/Online Communities/Social Networks	/Games/Computer & Video Games/Gaming Reference & Reviews/Video Game Cheats & Hints
com.pinterest	/Finance/Investing/Commodities & Futures Trading	/Games/Party Games	/Jobs & Education/Education/Computer Education	/Online Communities/Photo & Video Sharing/Photo & Image Sharing	/Sports/Individual Sports/Running & Walking
jp.konami.pesam	/Games/Computer & Video Games/Sports Games	/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics	/Finance/Investing	/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Pianos & Keyboards	/Beauty & Fitness/Fitness
com.playrix.township	/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance	/Reference/General Reference/Educational Resources	/Pets & Animals/Pets/Dogs	/Games/Computer & Video Games/Simulation Games/City Building Games	/Arts & Entertainment/Music & Audio/Music Streams & Downloads
com.grabtaxi.passenger	/Internet & Telecom/Web Services/Web Stats & Analytics	/Food & Drink/Food & Grocery Delivery	/Food & Drink/Restaurants	/Online Communities/Photo & Video Sharing/Video Sharing	/Arts & Entertainment/Visual Art & Design/Architecture
com.ludo.king	/Travel & Transportation/Transportation/Long Distance Bus & Rail	/Games/Computer & Video Games	/Travel & Transportation/Specialty Travel	/Computers & Electronics/Software/Business & Productivity Software	/Games/Board Games
com.waze	/Games/Computer & Video Games	/Travel & Transportation/Transportation/Parking	/Reference/Geographic Reference/Maps	/Travel & Transportation/Transportation/Traffic & Route Planners	/Computers & Electronics/Consumer Electronics/GPS & Navigation
com.cmplay.tiles2	/Arts & Entertainment/Music & Audio/Music Videos	/Games/Computer & Video Games/Music & Dance Games	/Business & Industrial/Small Business/MLM & Business Opportunities	/Home & Garden/Patio, Lawn & Garden/Gardening	/Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal
com.king.candycrushsodasaga	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software	/Jobs & Education/Jobs/Resumes & Portfolios	/Computers & Electronics/Software/Business & Productivity Software	/Computers & Electronics/Networking/Network Monitoring & Management	/Games/Computer & Video Games/Casual Games
com.google.android.apps.translate	/Computers & Electronics/Software/Multimedia Software/Audio & Music Software/Audio File Formats & Codecs	/Shopping/Consumer Resources	/Internet & Telecom/Web Services/Web Design & Development	/Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources	/Computers & Electronics/Consumer Electronics/Home Automation
com.roidapp.photogrid	/Computers & Electronics/Software/Multimedia Software/Photo & Video Software	/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections	/Online Communities/Blogging Resources & Services/Microblogging	/Travel & Transportation/Hotels & Accommodations/Vacation Rentals & Short-Term Stays	/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys
com.ijinshan.kbatterydoctor_en	/Computers & Electronics/Software/Software Utilities	/Online Communities/Social Networks	/Shopping/Apparel/Athletic Apparel	/Food & Drink/Food & Grocery Retailers	/Games/Computer & Video Games/Action & Platform Games
com.kwai.video	/Games/Computer & Video Games/Video Game Mods & Add-Ons	/Computers & Electronics/Software/Multimedia Software	/Online Communities/Photo & Video Sharing/Video Sharing	/Pets & Animals/Animal Products & Services/Pet Food & Pet Care Supplies	/Computers & Electronics/Programming
com.phonepe.app	/Finance/Banking	/Computers & Electronics/Consumer Electronics/Audio Equipment/Speakers	/Arts & Entertainment/TV & Video/TV Shows & Programs	/Travel & Transportation/Transportation/Air Travel	/News/Technology News
in.amazon.mShop.android.shopping	/Travel & Transportation/Transportation/Taxi & Ride Hail Services	/Finance/Financial Planning & Management	/Shopping/Shopping Portals	/Science/Mathematics	/Science/Astronomy
com.opera.mini.native	/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle & Traffic Safety	/Computers & Electronics/Software/Internet Software/Web Browsers	/Shopping/Apparel/Footwear/Athletic Shoes	/Science/Mathematics	/Food & Drink/Cooking & Recipes/Desserts
com.vkontakte.android	/Books & Literature/E-Books	/Arts & Entertainment/TV & Video/TV Guides & Reference	/Arts & Entertainment/Music & Audio/Podcasts	/Online Communities/Social Networks	/Business & Industrial/Metals & Mining/Precious Metals
com.tencent.iglite	/Travel & Transportation/Transportation/Traffic & Route Planners	/Arts & Entertainment/Visual Art & Design/Design/Graphic Design	/Reference/General Reference/Biographies & Quotations	/Beauty & Fitness/Hair Care	/News/Sports News
com.google.android.dialer	/Computers & Electronics/Software/Software Utilities	/Internet & Telecom/Service Providers/ISPs	/Computers & Electronics/Electronics & Electrical/Electrical Test & Measurement	/Finance/Accounting & Auditing	/News/Local News
com.ksmobile.launcher	/Jobs & Education/Jobs/Job Listings	/Shopping/Consumer Resources	/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration/Driving Instruction & Driver Education	/Sports/Team Sports/Cricket	/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/Ringtones & Mobile Themes
com.skgames.trafficrider	/Internet & Telecom/Email & Messaging/Voice & Video Chat	/Shopping/Gifts & Special Event Items/Greeting Cards	/Jobs & Education/Education/Computer Education	/Arts & Entertainment/Fun & Trivia	/Games/Computer & Video Games/Driving & Racing Games
com.whatsapp.w4b	/Shopping/Consumer Resources/Product Reviews & Price Comparisons/Price Comparisons	/Internet & Telecom/Email & Messaging/Text & Instant Messaging	/Arts & Entertainment/Movies/Movie Reference/Movie Reviews & Previews	/Arts & Entertainment/TV & Video/Online Video	/Internet & Telecom/Service Providers/Cable & Satellite Providers
com.google.android.apps.nbu.paisa.user	/Finance/Banking	/Online Communities/Blogging Resources & Services	/Shopping	/Finance/Banking/Money Transfer & Wire Services	/Business & Industrial/Advertising & Marketing
ru.sberbankmobile	/Finance/Banking	/Home & Garden/Patio, Lawn & Garden/Gardening	/Finance/Credit & Lending/Loans/Home Financing	/Books & Literature/Poetry	/Travel & Transportation/Transportation/Parking
com.gau.go.launcherex	/Computers & Electronics/Software/Software Utilities	/Arts & Entertainment/TV & Video/TV Shows & Programs	/Games/Computer & Video Games/Sandbox Games	/Reference/Geographic Reference/Maps	/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/Ringtones & Mobile Themes
com.etermax.preguntados.lite	/Sports/Sporting Goods	/Arts & Entertainment/Movies/Movie Reference/Movie Reviews & Previews	/Arts & Entertainment/Fun & Trivia	/Arts & Entertainment/Events & Listings/Concerts & Music Festivals	/Games/Computer & Video Games/Casual Games
com.microsoft.office.outlook	/Internet & Telecom/Email & Messaging	/Travel & Transportation/Transportation/Car Rentals	/Computers & Electronics/Software/Business & Productivity Software/Calendar & Scheduling Software	/Jobs & Education/Education/Distance Learning	/Internet & Telecom/Service Providers/Cable & Satellite Providers
