topicID	name
372	/Jobs & Education/Education/Colleges & Universities
998	/Sports/Fantasy Sports
1149	/Sports/Ice Skating
1058	/Autos & Vehicles/Motor Vehicles (By Type)/Vans & Minivans
465	/Finance/Insurance/Home Insurance
787	/Hobbies & Leisure/Radio Control & Modeling
1501	/Food & Drink/Cooking & Recipes/Healthy Eating
7	/Finance
1697	/Autos & Vehicles/Motor Vehicles (By Type)/SUVs & Crossovers/Crossovers
1457	/Finance/Investing/Stocks & Bonds
519	/Sports/Gymnastics
969	/Law & Government/Legal/Legal Services
1112	/Arts & Entertainment/TV Shows & Programs/TV Sci-Fi & Fantasy Shows
1009	/Travel & Transportation/Tourist Destinations/Zoos, Aquariums & Preserves
1805	/Home & Garden/Household Supplies
365	/Shopping/Consumer Resources/Coupons & Discount Offers
988	/Shopping/Costumes
137	/Home & Garden/Home & Interior Decor
935	/Games/Computer & Video Games/Massively Multiplayer Games
960	/Jobs & Education/Jobs/Job Listings
182	/Arts & Entertainment/Humor
1073	/Sports/College Sports
1212	/Autos & Vehicles/Motor Vehicles (By Type)/Scooters & Mopeds
1047	/Arts & Entertainment/TV Shows & Programs/TV Comedies
997	/Shopping/Women's Clothing
312	/Computers & Electronics/Computer Peripherals
887	/Pets & Animals/Pets/Fish & Aquaria
929	/Games/Computer & Video Games/Music & Dance Games
14	/People & Society
3	/Arts & Entertainment
1442	/Finance/Insurance/Life Insurance
38	/Finance/Insurance
58	/People & Society/Family & Relationships/Parenting
1071	/Internet & Telecom/Smart Phones
1788	/Computers & Electronics/Consumer Electronics/Wearable Technology
1525	/Food & Drink/Cooking & Recipes/BBQ & Grilling
39	/Games/Card Games
1311	/Games/Computer & Video Games/Action & Platform Games
174	/Science
1023	/Arts & Entertainment/Music & Audio/Folk & Traditional Music
1282	/Finance/Grants, Scholarships & Financial Aid
32	/Computers & Electronics/Software
895	/Arts & Entertainment/Humor/Live Comedy
158	/Home & Garden/Home Improvement
269	/Home & Garden/Gardening
958	/Jobs & Education
146	/Beauty & Fitness/Hair Care
1416	/Autos & Vehicles/Vehicle & Traffic Safety
60	/Jobs & Education/Jobs
886	/Pets & Animals/Pets/Dogs
982	/Science/Biological Sciences/Genetics
669	/Business & Industrial/Defense Industry
34	/Arts & Entertainment/Movies
568	/Sports/Equestrian
18	/Shopping
688	/Hobbies & Leisure/Outdoors
323	/Shopping/Flowers
157	/Business & Industrial/Business Operations/Human Resources
653	/Arts & Entertainment/Visual Art & Design/Design
24	/Arts & Entertainment/Visual Art & Design
1753	/Home & Garden/Landscape Design
704	/Law & Government/Crime & Justice
49	/Business & Industrial/Manufacturing
1707	/Real Estate/Lots & Land
294	/Sports/Soccer
1283	/Finance/Accounting & Auditing/Tax Preparation & Planning
1740	/Computers & Electronics/Software/Video Software
203	/Travel & Transportation/Air Travel
1072	/Arts & Entertainment/Movies/Documentary Films
1739	/Computers & Electronics/Software/Photo Software
1266	/Reference/Foreign Language Study
933	/Games/Computer & Video Games/Strategy Games
1844	/Science/Augmented & Virtual Reality
1686	/Autos & Vehicles/Vehicle Shopping/Used Vehicles
11	/Home & Garden
71	/Food & Drink
74	/Jobs & Education/Education
29	/Real Estate
1807	/Autos & Vehicles/Towing & Roadside Assistance
1454	/Finance/Investing/Mutual Funds
422	/Internet & Telecom/Web Design & Development
78	/Computers & Electronics/Consumer Electronics
884	/Pets & Animals/Pets/Birds
12	/Business & Industrial
1088	/Computers & Electronics/Software/Desktop Publishing
1074	/Travel & Transportation/Tourist Destinations/Beaches & Islands
955	/Business & Industrial/Hospitality Industry
806	/Autos & Vehicles/Custom & Performance Vehicles
893	/Arts & Entertainment/Music & Audio/Soundtracks
606	/Business & Industrial/Metals & Mining
1508	/Sports/Australian Football
1012	/Jobs & Education/Education/Early Childhood Education
572	/News/Local News
249	/Finance/Insurance/Health Insurance
590	/Arts & Entertainment/Music & Audio/Rock Music
1085	/Arts & Entertainment/Movie Listings & Theater Showtimes
1443	/Finance/Insurance/Travel Insurance
1021	/Arts & Entertainment/Music & Audio/Pop Music
5	/Computers & Electronics
358	/Arts & Entertainment/TV Shows & Programs
565	/Books & Literature/Poetry
19	/Law & Government
1592	/Arts & Entertainment/Magic
1148	/Sports/Skiing & Snowboarding
442	/Science/Ecology & Environment
185	/Beauty & Fitness/Fashion & Style
466	/Finance/Home Financing
486	/Computers & Electronics/Software/Graphics & Animation Software
1193	/Arts & Entertainment/TV Shows & Programs/TV Dramas
296	/Sports/Cricket
1888	/Travel & Transportation/Honeymoons & Romantic Getaways
233	/Business & Industrial/Energy & Utilities
1830	/Food & Drink/Cooking & Recipes/Cuisines/Vegetarian Cuisine/Vegan Cuisine
255	/Business & Industrial/Pharmaceuticals & Biotech
534	/Sports/Cheerleading
48	/Business & Industrial/Construction & Maintenance
1222	/Arts & Entertainment/Online Image Galleries
903	/Finance/Financial Planning & Management
31	/Computers & Electronics/Programming
1298	/Computers & Electronics/Networking/Distributed & Cloud Computing
41	/Games/Computer & Video Games
234	/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics
373	/Jobs & Education/Education/Standardized & Admissions Tests
1694	/Autos & Vehicles/Motor Vehicles (By Type)/Sedans
974	/People & Society/Family & Relationships/Parenting/Adoption
65	/Hobbies & Leisure
1097	/Arts & Entertainment/Movies/Action & Adventure Films
810	/Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles
473	/Autos & Vehicles/Vehicle Shopping
8	/Games
1268	/Autos & Vehicles/Gas Prices & Vehicle Fueling
63	/News/Weather
1008	/Travel & Transportation/Tourist Destinations/Theme Parks
369	/Jobs & Education/Education/Vocational & Continuing Education
25	/Business & Industrial/Advertising & Marketing
707	/Travel & Transportation/Adventure Travel
1103	/Arts & Entertainment/Movies/Cult & Indie Films
293	/Hobbies & Leisure/Weddings
890	/Pets & Animals/Pets/Reptiles & Amphibians
1397	/Games/Drawing & Coloring
985	/Shopping/Children's Clothing
205	/Travel & Transportation/Car Rentals
1310	/Arts & Entertainment/Movies/Romance Films
1903	/Business & Industrial/Business Operations/Flexible Work Arrangements
344	/Computers & Electronics/Network Security
22	/Books & Literature
1040	/Arts & Entertainment/Music & Audio/Blues
1185	/Arts & Entertainment/Opera
208	/Travel & Transportation/Tourist Destinations
791	/Jobs & Education/Education/Homeschooling
1717	/Hobbies & Leisure/Anniversaries
260	/Sports/Hockey
529	/Online Communities/Social Networks
400	/People & Society/Family & Relationships/Ancestry & Genealogy
1094	/Arts & Entertainment/Movies/Drama Films
1003	/Travel & Transportation/Luggage & Travel Accessories
396	/News/Politics
1770	/Beauty & Fitness/Face & Body Care/Nail Care Products
825	/Food & Drink/Cooking & Recipes/Cuisines/Vegetarian Cuisine
264	/Sports/Basketball
1593	/Sports/Surfing
1031	/Arts & Entertainment/Music & Audio/World Music/Reggae & Caribbean Music
1902	/Beauty & Fitness/Face & Body Care/Clean Beauty
1887	/Travel & Transportation/Family Travel
122	/Food & Drink/Cooking & Recipes
44	/Beauty & Fitness
1789	/Computers & Electronics/Consumer Electronics/Home Automation
1411	/Arts & Entertainment/TV Shows & Programs/TV Documentary & Nonfiction
380	/Pets & Animals/Veterinarians
1746	/Internet & Telecom/Web Hosting
533	/Reference
932	/Games/Computer & Video Games/Sports Games
1453	/Finance/Investing/Hedge Funds
517	/Sports/Rugby
505	/Science/Chemistry
894	/Arts & Entertainment/Acting & Theater
311	/Computers & Electronics/Networking
593	/Arts & Entertainment/Music & Audio/World Music
143	/Beauty & Fitness/Face & Body Care
35	/Arts & Entertainment/Music & Audio
121	/Food & Drink/Food & Grocery Retailers
619	/Finance/Financial Planning & Management/Retirement & Pension
554	/Sports/Extreme Sports
241	/Beauty & Fitness/Fitness/Bodybuilding
885	/Pets & Animals/Pets/Cats
138	/Autos & Vehicles/Vehicle Repair & Maintenance
1579	/Jobs & Education/Education/Early Childhood Education/Preschool
1159	/Business & Industrial/Business Operations
273	/Autos & Vehicles/Motor Vehicles (By Type)/Motorcycles
64	/Shopping/Antiques & Collectibles
379	/Pets & Animals/Pet Food & Pet Care Supplies
107	/Finance/Investing
1441	/Finance/Grants, Scholarships & Financial Aid/Study Grants & Scholarships
242	/Beauty & Fitness/Face & Body Care/Perfumes & Fragrances
1374	/People & Society/Family & Relationships/Parenting/Babies & Toddlers
374	/Reference/Educational Resources
1595	/Sports/Auto Racing
513	/Sports/Olympics
925	/Games/Computer & Video Games/Adventure Games
1901	/Autos & Vehicles/Motor Vehicles (By Type)/Autonomous Vehicles
1176	/Business & Industrial/Printing & Publishing
239	/Beauty & Fitness/Body Art
42	/Arts & Entertainment/Music & Audio/Jazz
587	/Arts & Entertainment/Music & Audio/Country Music
1183	/Books & Literature/Children's Literature
518	/Sports/Track & Field
367	/Jobs & Education/Education/Distance Learning
1853	/Travel & Transportation/Low Cost & Last Minute Travel
1056	/Autos & Vehicles/Motor Vehicles (By Type)/Pickup Trucks
179	/Travel & Transportation/Hotels & Accommodations
1547	/Business & Industrial/Advertising & Marketing/Sales
1270	/Hobbies & Leisure/Birthdays & Name Days
905	/Business & Industrial/Venture Capital
467	/Finance/Insurance/Auto Insurance
1035	/Arts & Entertainment/Music & Audio/Rock Music/Hard Rock & Progressive
931	/Games/Computer & Video Games/Simulation Games
258	/Sports/American Football
259	/Sports/Baseball
94	/Beauty & Fitness/Fitness
324	/Shopping/Party & Holiday Supplies
1209	/News/World News
1732	/Home & Garden/Home Safety & Security
315	/Computers & Electronics/Antivirus & Malware
901	/Computers & Electronics/Software/Freeware & Shareware
694	/Reference/How-To, DIY & Expert Content
1190	/Business & Industrial/Automotive Industry
622	/Games/Roleplaying Games
306	/Computers & Electronics/Consumer Electronics/Cameras & Camcorders
1765	/Beauty & Fitness/Face & Body Care/Bath & Body Products
1167	/Arts & Entertainment/Visual Art & Design/Painting
1696	/Autos & Vehicles/Motor Vehicles (By Type)/Station Wagons
357	/Arts & Entertainment/TV Shows & Programs/TV Dramas/TV Soap Operas
47	/Autos & Vehicles
104	/Internet & Telecom/ISPs
67	/Travel & Transportation
940	/Games/Table Tennis
926	/Games/Computer & Video Games/Casual Games
